"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","netustm","ppltrst","pplfair","pplhlp","polintr","trstlgl","trstplc","trstprt","vote","contplt","lrscale","stflife","stfeco","stfgov","stfedu","gincdif","euftf","lrnobed","imsmetn","imdfetn","impcntr","imueclt","imwbcnt","edlveat","edlvebe","edlvehr","edlvgcy","edlvdfi","edlvdfr","edudde1","educde2","edlvegr","edlvdahu","edlvdis","edlvdie","edlvfit","edlvdlt","edlvenl","edlveno","edlvipl","edlvept","edlvdrs","edlvdsk","edlvesi","edlvies","edlvdse","edlvdch","educgb1","edubgb2","edagegb","emplrel","nacer2","isco08","prob","stratum","psu"
"ESS11e02",11,"2.0","20.11.2024",50014,"FR",1.0100055,1.0533184,3.184377,3.3541627,480,5,5,2,2,7,7,2,1,2,5,7,4,2,2,2,8,3,2,2,2,6,5,,,,,,21,,,,,,,,,,,,,,,,,,,,,,1,70,1321,0.000120900084,617,6409
"ESS11e02",11,"2.0","20.11.2024",50047,"FR",0.99140745,3.2674327,3.184377,10.404737,240,6,6,5,1,5,5,4,1,2,7,8,7,6,5,3,5,1,2,3,3,4,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,84,4419,0.00012316807,617,6393
"ESS11e02",11,"2.0","20.11.2024",50131,"FR",1.0043057,0.6781511,3.184377,2.1594887,240,4,5,2,3,7,8,3,2,2,7,7,4,5,3,4,10,1,2,2,2,7,88,,,,,,15,,,,,,,,,,,,,,,,,,,,,,1,86,2240,0.00012158622,620,6217
"ESS11e02",11,"2.0","20.11.2024",50152,"FR",1.0043916,1.4738511,3.184377,4.6932974,180,0,6,4,4,6,6,0,3,2,5,4,5,3,7,2,8,1,2,2,3,3,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,55,5322,0.00012157584,635,6370
"ESS11e02",11,"2.0","20.11.2024",50160,"FR",1.0017681,0.664462,3.184377,2.1158974,60,5,6,6,3,8,9,3,2,2,88,8,4,5,7,2,88,1,2,3,3,5,4,,,,,,18,,,,,,,,,,,,,,,,,,,,,,1,16,7522,0.00012189423,628,6267
"ESS11e02",11,"2.0","20.11.2024",50190,"FR",1.0102577,0.7849148,3.184377,2.4994645,300,5,9,6,3,5,7,2,1,1,8,10,2,6,4,2,5,1,2,2,2,9,9,,,,,,18,,,,,,,,,,,,,,,,,,,,,,1,84,3435,0.0001208699,633,6205
"ESS11e02",11,"2.0","20.11.2024",50211,"FR",0.9919002,1.0865984,3.184377,3.4601388,188,4,5,5,4,4,6,88,3,2,88,8,4,5,88,2,88,2,8,8,3,3,2,,,,,,9,,,,,,,,,,,,,,,,,,,,,,1,56,5131,0.00012310689,628,6271
"ESS11e02",11,"2.0","20.11.2024",50213,"FR",1.001563,0.7202839,3.184377,2.2936554,60,5,6,6,4,3,10,0,2,2,8,8,2,0,2,2,1,1,3,4,4,2,1,,,,,,21,,,,,,,,,,,,,,,,,,,,,,1,85,2330,0.000121919205,627,6288
"ESS11e02",11,"2.0","20.11.2024",50214,"FR",1.0028046,1.1772866,3.184377,3.7489243,60,7,8,7,3,5,6,5,2,2,3,7,3,3,3,2,6,2,1,1,1,8,8,,,,,,9,,,,,,,,,,,,,,,,,,,,,,1,35,7413,0.00012176822,633,6387
"ESS11e02",11,"2.0","20.11.2024",50225,"FR",1.0043916,0.8987418,3.184377,2.8619325,6666,5,7,3,1,5,9,7,3,1,3,6,4,6,3,1,10,2,2,2,2,6,6,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,41,8342,0.00012157584,635,6370
